Executing Case 1: Running Model Training with all context and all criteria
IFM - RMSE: 1.2101, MAE: 0.9575, Time: 12.52s, CPU: 0.00%, Memory: 0.00MB
MLR - RMSE: 0.9265, MAE: 0.7488, Time: 18.52s, CPU: 0.00%, Memory: 0.31MB
MultiHeadAttentionModel - RMSE: 0.8634, MAE: 0.6096, Time: 15.36s, CPU: 0.00%, Memory: 0.00MB
==============================================================================================

Executing Case 13: Running Prediction with single criteria: GroupEase, with single context: Semester
AFM - RMSE: 1.0995, MAE: 0.9040, Time: 26.97s, CPU: 0.00%, Memory: 2193.44MB
AutoInt - RMSE: 0.8851, MAE: 0.6893, Time: 18.47s, CPU: 0.00%, Memory: 2.43MB
CCPM - RMSE: 1.2686, MAE: 0.9929, Time: 18.77s, CPU: -0.10%, Memory: 611.30MB
DCN - RMSE: 0.8817, MAE: 0.6857, Time: 12.59s, CPU: 0.00%, Memory: 0.28MB
DeepFM - RMSE: 0.8833, MAE: 0.6882, Time: 11.39s, CPU: 0.00%, Memory: 4.20MB
DIFM - RMSE: 1.3693, MAE: 1.0471, Time: 12.03s, CPU: 0.10%, Memory: 4.86MB
FiBiNET - RMSE: 0.9732, MAE: 0.7447, Time: 17.33s, CPU: 0.00%, Memory: 12.23MB
NFM - RMSE: 0.9055, MAE: 0.7079, Time: 10.54s, CPU: 0.00%, Memory: 8.54MB
ONN - RMSE: 1.1809, MAE: 0.8886, Time: 22.97s, CPU: 0.30%, Memory: 9.68MB
PNN - RMSE: 0.9350, MAE: 0.7231, Time: 8.36s, CPU: 0.10%, Memory: 3.64MB
WDL - RMSE: 0.8818, MAE: 0.6869, Time: 11.96s, CPU: 0.00%, Memory: 4.21MB
xDeepFM - RMSE: 0.8782, MAE: 0.6817, Time: 11.67s, CPU: 0.10%, Memory: 35.83MB
IFM - RMSE: 1.2258, MAE: 0.9693, Time: 12.51s, CPU: 0.00%, Memory: 7.61MB
MLR - RMSE: 0.9652, MAE: 0.7832, Time: 17.93s, CPU: 0.10%, Memory: 8.30MB
MultiHeadAttentionModel - RMSE: 0.8565, MAE: 0.6170, Time: 13.64s, CPU: 0.10%, Memory: 6.37MB
==============================================================================================

Executing Case 14: Running Prediction with single criteria: GroupApp, with single context: Lockdown
AFM - RMSE: 1.0435, MAE: 0.8774, Time: 25.08s, CPU: 0.20%, Memory: 2183.33MB
AutoInt - RMSE: 0.8260, MAE: 0.6444, Time: 12.72s, CPU: 0.00%, Memory: 0.34MB
CCPM - RMSE: 1.1309, MAE: 0.9034, Time: 17.20s, CPU: 0.10%, Memory: 612.12MB
DCN - RMSE: 0.8142, MAE: 0.6305, Time: 11.42s, CPU: -0.10%, Memory: 0.00MB
DeepFM - RMSE: 0.8169, MAE: 0.6335, Time: 10.02s, CPU: 0.00%, Memory: 0.72MB
DIFM - RMSE: 1.2730, MAE: 1.0025, Time: 13.10s, CPU: -0.10%, Memory: 0.00MB
FiBiNET - RMSE: 0.8726, MAE: 0.6651, Time: 16.89s, CPU: 0.00%, Memory: 0.00MB
NFM - RMSE: 0.8563, MAE: 0.6560, Time: 10.00s, CPU: -0.10%, Memory: 0.00MB
ONN - RMSE: 1.1166, MAE: 0.8282, Time: 21.21s, CPU: -0.10%, Memory: 0.53MB
PNN - RMSE: 0.8792, MAE: 0.6549, Time: 7.96s, CPU: 0.00%, Memory: 0.26MB
WDL - RMSE: 0.8163, MAE: 0.6328, Time: 11.19s, CPU: 0.00%, Memory: 0.00MB
xDeepFM - RMSE: 0.8124, MAE: 0.6304, Time: 11.53s, CPU: 0.00%, Memory: 31.82MB
IFM - RMSE: 1.1852, MAE: 0.9415, Time: 9.98s, CPU: -0.40%, Memory: 0.00MB
MLR - RMSE: 0.8973, MAE: 0.7303, Time: 17.46s, CPU: 0.10%, Memory: 0.31MB
MultiHeadAttentionModel - RMSE: 0.8612, MAE: 0.6335, Time: 14.43s, CPU: 0.50%, Memory: 0.00MB
==============================================================================================

Executing Case 15: Running Prediction with single criteria: GroupData, with single context: Lockdown
AFM - RMSE: 1.0565, MAE: 0.8870, Time: 226.78s, CPU: -2.40%, Memory: 2190.96MB
AutoInt - RMSE: 0.8554, MAE: 0.6664, Time: 14.28s, CPU: 0.10%, Memory: 1.12MB
CCPM - RMSE: 1.1524, MAE: 0.9110, Time: 20.91s, CPU: 0.00%, Memory: 598.88MB
DCN - RMSE: 0.8451, MAE: 0.6542, Time: 16.25s, CPU: 0.00%, Memory: 0.00MB
DeepFM - RMSE: 0.8497, MAE: 0.6573, Time: 14.36s, CPU: -0.10%, Memory: 0.76MB
DIFM - RMSE: 1.2864, MAE: 1.0121, Time: 15.48s, CPU: 0.20%, Memory: 0.00MB
FiBiNET - RMSE: 0.8982, MAE: 0.6865, Time: 29.82s, CPU: -0.40%, Memory: 0.00MB
NFM - RMSE: 0.8892, MAE: 0.6841, Time: 16.75s, CPU: 0.00%, Memory: 0.00MB
ONN - RMSE: 1.1913, MAE: 0.8812, Time: 33.40s, CPU: 0.40%, Memory: 0.53MB
PNN - RMSE: 0.9083, MAE: 0.6824, Time: 11.99s, CPU: -0.10%, Memory: 0.26MB
WDL - RMSE: 0.8486, MAE: 0.6561, Time: 15.52s, CPU: 0.00%, Memory: 0.00MB
xDeepFM - RMSE: 0.8396, MAE: 0.6499, Time: 20.22s, CPU: 0.00%, Memory: 32.11MB
IFM - RMSE: 1.2006, MAE: 0.9533, Time: 16.32s, CPU: 0.00%, Memory: 0.00MB
MLR - RMSE: 0.9275, MAE: 0.7500, Time: 27.01s, CPU: -0.10%, Memory: 0.00MB
MultiHeadAttentionModel - RMSE: 0.8488, MAE: 0.6235, Time: 21.51s, CPU: 0.10%, Memory: 1.01MB
==============================================================================================

Executing Case 16: Running Prediction with single criteria: GroupEase, with single context: Lockdown
AFM - RMSE: 1.0775, MAE: 0.9036, Time: 35.75s, CPU: -0.10%, Memory: 2206.64MB
AutoInt - RMSE: 0.8897, MAE: 0.6960, Time: 19.73s, CPU: 0.10%, Memory: 1.64MB
CCPM - RMSE: 1.1788, MAE: 0.9371, Time: 23.47s, CPU: -0.10%, Memory: 610.74MB
DCN - RMSE: 0.8821, MAE: 0.6868, Time: 19.81s, CPU: 0.10%, Memory: 0.18MB
DeepFM - RMSE: 0.8850, MAE: 0.6879, Time: 16.62s, CPU: 0.30%, Memory: 19.86MB
DIFM - RMSE: 1.3077, MAE: 1.0266, Time: 19.19s, CPU: 0.10%, Memory: 4.38MB
FiBiNET - RMSE: 0.9466, MAE: 0.7288, Time: 30.20s, CPU: -0.10%, Memory: 11.41MB
NFM - RMSE: 0.9313, MAE: 0.7141, Time: 15.27s, CPU: 0.00%, Memory: 13.29MB
ONN - RMSE: 1.2178, MAE: 0.9052, Time: 35.60s, CPU: -0.10%, Memory: 21.27MB
PNN - RMSE: 0.9517, MAE: 0.7224, Time: 11.68s, CPU: -0.10%, Memory: 9.22MB
